#------------------------------------------------------------#
# EXAMPLE DATA
# When loading with CSV.jl, provide the `comment="#"` option.
#
# System size                  L = 20:10:60
# Time between samples in MCS  tau = 10 
# Number of samples            N = 50_000
#------------------------------------------------------------#
L,T,e,e2,m,m2,m4,absem
40,2.0606060606060606,-2716.38648,7.38460871072e6,-0.8881500250000001,0.7896421100312501,0.6260583031178409,0.8881500250000001
50,2.0606060606060606,-4244.16312,1.802201130208e7,-0.8880180799999999,0.7891150907392,0.6243586191524336,0.8880180799999999
60,2.0606060606060606,-6112.88088,3.738035501536e7,-0.8883898,0.7895933224938272,0.6245672411416705,0.8883898
20,2.0656565656565657,-677.64784,460670.07168,-0.8862463,0.7887748195000002,0.6313294942820874,0.8862463
30,2.0656565656565657,-1523.74344,2.32517061856e6,-0.8852990222222222,0.7854113854814816,0.6216285800213509,0.8852990222222222
40,2.0656565656565657,-2710.25624,7.35142533536e6,-0.886134425,0.7860843757187501,0.6205070726149956,0.886134425
50,2.0656565656565657,-4233.83328,1.793470242176e7,-0.886068112,0.7856671934592002,0.6189600207204995,0.886068112
60,2.0656565656565657,-6096.62888,3.718216673504e7,-0.885935688888889,0.7852643133333335,0.6178210251583006,0.885935688888889
20,2.0707070707070705,-675.5052,457833.5472,-0.5809426999999999,0.7835476535000001,0.6240630743744374,0.8829792999999999
30,2.0707070707070705,-1520.01272,2.31384416224e6,-0.8834380444444444,0.7821297434074074,0.6165432964412284,0.8834380444444444
40,2.0707070707070705,-2702.79176,7.31117692832e6,-0.8836968749999998,0.78184418396875,0.6140451914706532,0.8836968749999998
50,2.0707070707070705,-4222.58664,1.783964281696e7,-0.8836270079999999,0.7813749778176,0.6123076725544837,0.8836270079999999
60,2.0707070707070705,-6080.04952,3.698054775968e7,-0.8836052777777779,0.781157865351852,0.6114340133245102,0.8836052777777779
20,2.0757575757575757,-673.94264,455733.9856,-0.016293099999999977,0.7807117925000001,0.6197409474927125,0.8812886999999999
30,2.0757575757575757,-1515.79072,2.3011170368e6,-0.88088,0.7777432075061729,0.6099506465780198,0.88088
40,2.0757575757575757,-2695.19216,7.27016984256e6,-0.8811502999999999,0.7773564639374999,0.6070668770319653,0.8811502999999999
50,2.0757575757575757,-4212.18064,1.775209593664e7,-0.8816357119999999,0.7778721190912001,0.6068758746481748,0.8816357119999999
60,2.0757575757575757,-6064.83224,3.679600732704e7,-0.8812414444444445,0.777015894777778,0.6050598408589375,0.8812414444444445
20,2.080808080808081,-671.99352,453159.04416,-0.8784107999999998,0.775771928,0.6125592071895499,0.8784109999999999
30,2.080808080808081,-1511.79112,2.28908214304e6,-0.8780688000000001,0.7731768353580247,0.6033114271306672,0.8781014222222223
40,2.080808080808081,-2687.23248,7.22757554688e6,-0.8780400500000001,0.7720470023125,0.5992350283325419,0.8780400500000001
50,2.080808080808081,-4199.91296,1.764907237056e7,-0.878901584,0.7731080184704001,0.5996175415885736,0.878901584
60,2.080808080808081,-6047.99056,3.659243001088e7,-0.8787880888888889,0.7727182526913582,0.5984555133241121,0.8787880888888889
20,2.085858585858586,-670.1744,450742.40448,0.395987,0.7721771680000001,0.6074167533799,0.8761559999999999
30,2.085858585858586,-1508.4332,2.27897125408e6,-0.8764440000000001,0.7700837910123456,0.59845291597158,0.8764440000000001
40,2.085858585858586,-2679.99072,7.18884110464e6,-0.875857,0.7682089978750001,0.5933138031490773,0.875857
50,2.085858585858586,-4189.18832,1.755924990912e7,-0.8764471839999999,0.7688217768832001,0.5930657759360122,0.8764471839999999
60,2.085858585858586,-6031.62168,3.639487822624e7,-0.8763834333333332,0.7685109496358026,0.5920037547343135,0.8763834333333332
20,2.090909090909091,-668.19712,448112.85376,-0.03570320000000003,0.767602653,0.6006319273800749,0.8735025999999998
30,2.090909090909091,-1503.47856,2.26415057152e6,-0.8735690666666668,0.7651084314074074,0.5909920293742501,0.8735690666666668
40,2.090909090909091,-2673.35576,7.1534098544e6,-0.8735588500000001,0.764277113375,0.5874976705410183,0.8735588500000001
50,2.090909090909091,-4177.31104,1.746030355136e7,-0.873921808,0.7644371823744002,0.5864380467458082,0.873921808
60,2.090909090909091,-6015.11512,3.619628292064e7,-0.8738853555555556,0.7641488047654321,0.5853425970235488,0.8738853555555556
20,2.095959595959596,-666.05016,445322.28832,-0.08882899999999998,0.7618556420000001,0.5927839887908,0.8699679999999999
30,2.095959595959596,-1499.436,2.25207302272e6,-0.8712307111111112,0.761107420345679,0.5850074880104877,0.8712307111111112
40,2.095959595959596,-2665.50744,7.11154688224e6,-0.8710110750000001,0.7598342612812501,0.5807168400971817,0.8710110750000001
50,2.095959595959596,-4165.11728,1.7358716896e7,-0.8709737919999999,0.759364016896,0.5788892196240414,0.8709737919999999
60,2.095959595959596,-5997.796,3.598866954816e7,-0.8708574333333333,0.7589469629938274,0.5776343474430045,0.8708574333333333
20,2.101010101010101,-664.46024,443232.64096,-0.6785322,0.758738126,0.58812706713845,0.8681123999999999
30,2.101010101010101,-1495.01592,2.23888172e6,-0.8682120000000001,0.755911873382716,0.5773109031877482,0.8682120000000001
40,2.101010101010101,-2657.9636,7.0715597744e6,-0.8683580249999999,0.75526209028125,0.5739197911882123,0.8683580249999999
50,2.101010101010101,-4152.23728,1.725177506368e7,-0.8680468640000001,0.7543414520192001,0.5714412383369781,0.8680468640000001
60,2.101010101010101,-5979.0568,3.576463290688e7,-0.8677976999999999,0.7536541501913581,0.5696991416309024,0.8677976999999999
20,2.106060606060606,-662.51464,440670.01056,-0.34871009999999997,0.7544093775000001,0.5819261149341375,0.8655262999999999
30,2.106060606060606,-1490.92336,2.22676680192e6,-0.8659688000000001,0.7521110998518518,0.5717906767021096,0.8659688000000001
40,2.106060606060606,-2650.76248,7.0335250544e6,-0.86578765,0.7509029211874999,0.5675886798557395,0.86578765
50,2.106060606060606,-4140.4296,1.715399451776e7,-0.865198016,0.7494274295040002,0.5641241811983186,0.865198016
60,2.106060606060606,-5961.56528,3.555601646208e7,-0.8650587777777778,0.748928160271605,0.562646090065136,0.8650587777777778
20,2.111111111111111,-660.5664,438107.22816,-0.05785050000000001,0.7497236445000001,0.5752233237604124,0.8626790999999999
30,2.111111111111111,-1486.4484,2.21354998752e6,-0.8623936444444446,0.7462375070617284,0.5636718453201622,0.8623936444444446
40,2.111111111111111,-2641.21976,6.98305460064e6,-0.8622977749999999,0.74493998021875,0.5588068894375334,0.8622977749999999
50,2.111111111111111,-4127.98232,1.705131608352e7,-0.8621561440000001,0.7442249385856001,0.5564850271219655,0.8621561440000001
60,2.111111111111111,-5943.7636,3.53441743664e7,-0.8621768666666667,0.7439799850987655,0.5553326401015831,0.8621768666666667
20,2.1161616161616164,-657.972,434734.1952,0.2729440999999999,0.7429499035000001,0.5660062359133374,0.8584980999999999
30,2.1161616161616164,-1480.65944,2.1964607152e6,-0.8583935111111112,0.7396278261728395,0.5543743189595088,0.8583935111111112
40,2.1161616161616164,-2633.54824,6.94282833568e6,-0.8593101750000001,0.73995057309375,0.5517392913553448,0.8593101750000001
50,2.1161616161616164,-4115.06208,1.694526913792e7,-0.859070096,0.7390302629504001,0.5490358944603569,0.859070096
60,2.1161616161616164,-5925.5608,3.512862325824e7,-0.8591732000000001,0.738864987851852,0.5478863092139382,0.8591732000000001
20,2.121212121212121,-656.12584,432379.57792,-0.3605089,0.7377391885,0.5597008397474124,0.8547904999999999
30,2.121212121212121,-1477.16856,2.18613654048e6,-0.856304888888889,0.7360105252345678,0.5489572273311352,0.856304888888889
40,2.121212121212121,-2624.92608,6.89768564096e6,-0.8562556,0.734689246,0.5439811506879321,0.8562556
50,2.121212121212121,-4101.7408,1.683604469824e7,-0.8556001759999999,0.7331866120832,0.5406659248720521,0.8556001759999999
60,2.121212121212121,-5906.97752,3.490901936736e7,-0.8560392444444445,0.7335143541604938,0.5400668006502564,0.8560392444444445
20,2.1262626262626263,-654.01568,429631.06944,-0.0938898,0.7334694740000001,0.5535162512073499,0.8522858
